종목코드,종목명,지배비율,순차입금,매출액_2023,매출액_2024,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2023,영업이익_2024,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,매출액_성장률_2025,매출액_성장률_2026,매출액_성장률_2027,매출액_성장률_2028,매출액_최대성장률,영업이익_성장률_2025,영업이익_성장률_2026,영업이익_성장률_2027,영업이익_성장률_2028,영업이익_최대성장률,데이터_가용성,가용_연도수,PER,PBR,ROE,부채비율,평균거래량_20d,최근거래일_거래량,OBV_trend,RSI,저항선,지지선,MA_align,MACD_signal,외인_5d,외인_20d,기관_5d,기관_20d,시장,현재가,시가총액,Recent_Volume,거래량배수,업종,컨센_보강,컨센_보강일
402340,SK스퀘어,1.0,-13112.77,22784.55,58817.7,104555.53,130986.0,152484.0,151568.0,-23396.98,39206.47,87974.21,496238.4,603879.0,607606.0,77.76,25.28,16.41,-0.6,77.76,124.39,464.07,21.69,0.62,464.07,4년치 존재,4,,,85.62,6.62,485142.0,585196.0,up,55.5,1757000.0,799000.0,mixed,bull,267394.0,767233.0,35737.0,-426364.0,KOSPI,1134000,1496018,585196,1.2,반도체와반도체장비,False,
005930,삼성전자,0.9873,-1675903.07,2589354.94,3008709.03,3336059.38,7362011.5,9556911.95,10205997.94,65669.76,327259.61,436010.51,3877835.91,5547207.68,5562056.78,10.88,120.68,29.81,6.79,120.68,33.23,789.39,43.05,0.27,789.39,4년치 존재,4,,,31.39,31.1,16617506.0,17921107.0,up,58.7,334000.0,207000.0,mixed,bull,-1010588.0,-11253338.0,9050129.0,10420658.0,KOSPI,277500,16223423,17921107,1.1,반도체와반도체장비,False,
005935,삼성전자우,0.9873,-1675903.07,2589354.94,3008709.03,3336059.38,7362011.5,9556911.95,10205997.94,65669.76,327259.61,436010.51,3877835.91,5547207.68,5562056.78,10.88,120.68,29.81,6.79,120.68,33.23,789.39,43.05,0.27,789.39,4년치 존재,4,,,31.39,31.1,3446699.0,5360642.0,up,61.5,212500.0,151000.0,up,bull,-903081.0,-4477188.0,565636.0,2265196.0,KOSPI,212500,1705039,5360642,1.6,반도체와반도체장비,False,
000660,SK하이닉스,0.9986,-668447.84,327657.19,661929.6,971466.75,3439269.39,5062789.26,5562404.79,-77303.13,234673.19,472063.19,2649256.61,3973945.26,4105474.74,46.76,254.03,47.21,9.87,254.03,101.16,461.21,50.0,3.31,461.21,4년치 존재,4,,,92.68,32.8,3293376.0,3216122.0,up,55.9,2650000.0,1322000.0,mixed,bull,-819523.0,-4548582.0,260721.0,-1444993.0,KOSPI,1841000,13448364,3216122,1.0,반도체와반도체장비,False,
032830,삼성생명,1.0,,309370.14,337860.29,371383.1,,,,23983.77,24997.51,25804.69,34544.25,69533.25,45800.38,9.92,,,,9.92,3.23,33.87,101.29,-34.13,101.29,4년치 존재,4,,,3.34,,356205.0,217843.0,down,46.3,408500.0,264000.0,down,bear,-73886.0,-38676.0,41274.0,170793.0,KOSPI,290500,581000,217843,0.6,생명보험,False,
034020,두산에너빌리티,0.6463,45793.89,175898.88,162330.55,170578.76,183496.38,205211.2,229828.2,14673.18,10176.0,7627.12,11307.5,16256.4,20657.27,5.08,7.57,11.83,12.0,12.0,-25.05,48.25,43.77,27.07,48.25,4년치 존재,4,,,2.3,136.43,3144466.0,3019059.0,up,54.6,91700.0,60200.0,up,bear,-2225172.0,-5403482.0,-666670.0,3202188.0,KOSPI,86600,554726,3019059,1.0,기계,False,
028260,삼성물산,0.7051,-38038.9,418956.81,421032.38,407422.41,455762.79,492850.0,515467.69,28701.74,29833.97,32927.47,37981.14,44103.21,47918.15,-3.23,11.86,8.14,4.59,11.86,10.37,15.35,16.12,8.65,16.12,4년치 존재,4,,,3.99,44.02,330288.0,266661.0,down,49.5,471000.0,285500.0,mixed,bear,-54371.0,-281682.0,62028.0,329672.0,KOSPI,364500,591101,266661,0.8,복합기업,False,
207940,삼성바이오로직스,0.9985,-9473.01,36945.89,34971.46,45569.72,54951.31,64069.0,68466.8,11136.8,13213.66,20692.21,24162.15,28197.58,30980.9,30.31,20.59,16.59,6.86,30.31,56.6,16.77,16.7,9.87,56.6,4년치 존재,4,,,19.88,51.31,40283.0,29801.0,down,36.9,1609000.0,1325000.0,down,bear,3241.0,47010.0,-20136.0,-93529.0,KOSPI,1392000,644370,29801,0.7,제약,False,
064350,현대로템,0.997,-24542.29,35873.82,43765.98,58390.32,68395.0,77290.82,88512.19,2100.47,4565.66,10056.41,10808.24,13191.12,16463.56,33.41,17.13,13.01,14.52,33.41,120.26,7.48,22.05,24.81,120.26,4년치 존재,4,,,26.45,169.14,304879.0,274170.0,down,34.4,200500.0,118100.0,down,bull,-164921.0,-161482.0,-24799.0,-567455.0,KOSPI,118100,128897,274170,0.9,우주항공과국방,False,
086790,하나금융지주,0.9849,,696935.71,816142.99,689436.35,,,,46934.07,48551.82,53508.98,59870.47,62471.88,65090.5,-15.53,,,,-15.53,10.21,11.89,4.35,4.19,11.89,4년치 존재,4,,,9.11,,747122.0,492364.0,up,51.9,140400.0,114600.0,mixed,bear,-446309.0,-795859.0,385812.0,1077392.0,KOSPI,135800,367977,492364,0.7,은행,False,
