종목코드,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,지배비율,순차입금,시가총액,현재가,PER,업종,시장
402340,104555.53,130986.0,152484.0,151568.0,87974.21,496238.4,603879.0,607606.0,1.0,-13112.77,1494699,1133000,,반도체와반도체장비,KOSPI
005935,3336059.38,7362011.5,9556911.95,10205997.94,436010.51,3877835.91,5547207.68,5562056.78,0.9873,-1675903.07,1688991,210500,,반도체와반도체장비,KOSPI
005930,3336059.38,7362011.5,9556911.95,10205997.94,436010.51,3877835.91,5547207.68,5562056.78,0.9873,-1675903.07,16077266,275000,,반도체와반도체장비,KOSPI
000660,971466.75,3439269.39,5062789.26,5562404.79,472063.19,2649256.61,3973945.26,4105474.74,0.9986,-668447.84,13725952,1879000,,반도체와반도체장비,KOSPI
105560,812307.08,,,,85177.11,94482.56,95887.75,98431.93,0.9916,,630989,177900,,은행,KOSPI
032830,371383.1,,,,25804.69,34544.25,69533.25,45800.38,1.0,,587000,293500,,생명보험,KOSPI
028260,407422.41,455707.07,493136.15,514226.67,32927.47,38109.0,44037.31,47717.17,0.7038,-38038.9,597588,368500,,복합기업,KOSPI
034020,170578.76,183496.38,205211.2,229828.2,7627.12,11307.5,16256.4,20657.27,0.6463,45793.89,554085,86500,,기계,KOSPI
006400,132667.31,159085.95,195994.89,240827.65,-17223.61,3986.42,14513.58,25000.53,0.8604,106775.0,431938,536000,,전기제품,KOSPI
086790,689436.35,,,,53508.98,59870.47,62471.88,65090.5,0.9849,,367706,135700,,은행,KOSPI
034730,1227033.38,1480609.0,1456331.0,1514952.1,18184.76,115600.08,110268.08,126485.5,0.3947,496014.83,419066,578000,,석유와가스,KOSPI
068270,41624.95,55396.11,64267.33,71626.18,11684.71,18569.94,22905.72,25840.59,0.9945,26085.71,422665,181700,,제약,KOSPI
066570,892008.82,966484.59,1010770.71,1052523.07,24783.92,46394.53,49360.82,60193.13,0.8057,41258.6,330656,203000,,전자제품,KOSPI
267260,40794.98,46914.13,55469.0,64687.29,9953.13,12327.13,15511.4,18902.79,1.0,-8268.76,260260,722000,,전기장비,KOSPI
316140,415483.95,,,,36748.08,43792.63,47979.69,50413.67,0.971,,268559,36450,,은행,KOSPI
005490,690948.86,736454.05,761427.89,787309.78,18270.63,30929.47,38389.58,44428.17,0.9054,179179.05,253177,319500,,철강,KOSPI
078930,251841.27,286612.8,281332.2,283044.0,29360.61,51915.0,36700.0,36994.0,0.8262,61654.03,105529,113600,,석유와가스,KOSPI
000150,197841.38,218529.69,252451.83,285187.0,10627.15,17946.85,25094.92,31331.0,0.504,54570.67,234001,1445000,,복합기업,KOSPI
042700,5766.85,8196.0,11239.0,13148.0,2513.9,3822.0,5617.0,6843.0,1.0,-862.95,227796,239000,,반도체와반도체장비,KOSPI
017670,170992.13,176591.15,180127.6,184044.25,10732.15,19601.15,20848.25,22035.6,1.0,82031.19,187727,87400,,무선통신서비스,KOSPI
071050,194661.43,419870.0,417760.0,419820.0,23453.29,40613.81,32549.75,33383.2,1.0,,102870,184600,,증권,KOSPI
